"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 21 18:01:16 ALMT 2023","Wed Jun 21 18:01:20 ALMT 2023","4799","","com.noda.groall.OfficeSelectionTest","","com.noda.groall.OfficeSelectionTest","checkTokenInputSpecialSymbolsTest","checkTokenInputSpecialSymbolsTest(String) [3] as!@",""
"skipped","Wed Jun 21 18:07:10 ALMT 2023","Wed Jun 21 18:07:10 ALMT 2023","0","","com.noda.groall.OfficeSelectionTest","","com.noda.groall.OfficeSelectionTest","checkTokenInputSpecialSymbolsTest","checkTokenInputSpecialSymbolsTest(String)",""
"skipped","Wed Jun 21 18:07:17 ALMT 2023","Wed Jun 21 18:07:17 ALMT 2023","0","","com.noda.groall.OfficeSelectionTest","","com.noda.groall.OfficeSelectionTest","checkCheckBoxTest","checkCheckBoxTest()",""
"failed","Wed Jun 21 18:07:10 ALMT 2023","Wed Jun 21 18:07:17 ALMT 2023","6582","","com.noda.groall.OfficeSelectionTest","","com.noda.groall.OfficeSelectionTest","checkInputTokens1AmountTest","checkInputTokens1AmountTest()",""
"passed","Wed Jun 21 18:01:26 ALMT 2023","Wed Jun 21 18:01:30 ALMT 2023","4877","","com.noda.groall.OfficeSelectionTest","","com.noda.groall.OfficeSelectionTest","checkTokenInputNegativeOrZeroValueTest","checkTokenInputNegativeOrZeroValueTest(String) [2] 0",""
"skipped","Wed Jun 21 18:07:10 ALMT 2023","Wed Jun 21 18:07:10 ALMT 2023","0","","com.noda.groall.OfficeSelectionTest","","com.noda.groall.OfficeSelectionTest","checkTokenInputNegativeOrZeroValueTest","checkTokenInputNegativeOrZeroValueTest(String)",""
"passed","Wed Jun 21 18:01:20 ALMT 2023","Wed Jun 21 18:01:26 ALMT 2023","5213","","com.noda.groall.OfficeSelectionTest","","com.noda.groall.OfficeSelectionTest","checkTokenInputNegativeOrZeroValueTest","checkTokenInputNegativeOrZeroValueTest(String) [1] -500",""
"passed","Wed Jun 21 18:01:05 ALMT 2023","Wed Jun 21 18:01:10 ALMT 2023","5209","","com.noda.groall.OfficeSelectionTest","","com.noda.groall.OfficeSelectionTest","checkTokenInputSpecialSymbolsTest","checkTokenInputSpecialSymbolsTest(String) [1] asdf",""
"skipped","Wed Jun 21 18:07:10 ALMT 2023","Wed Jun 21 18:07:10 ALMT 2023","1","","com.noda.groall.OfficeSelectionTest","","com.noda.groall.OfficeSelectionTest","checkOfficeAddressAtOfficeSelectionPageTest","checkOfficeAddressAtOfficeSelectionPageTest()",""
"skipped","Wed Jun 21 18:07:10 ALMT 2023","Wed Jun 21 18:07:10 ALMT 2023","1","","com.noda.groall.OfficeSelectionTest","","com.noda.groall.OfficeSelectionTest","checkInputTokensAmountMoreThanBalanceTest","checkInputTokensAmountMoreThanBalanceTest()",""
"passed","Wed Jun 21 18:01:10 ALMT 2023","Wed Jun 21 18:01:16 ALMT 2023","5145","","com.noda.groall.OfficeSelectionTest","","com.noda.groall.OfficeSelectionTest","checkTokenInputSpecialSymbolsTest","checkTokenInputSpecialSymbolsTest(String) [2] !@#$",""
